date,Depression,isPartial
2020-04-05,96,False
2020-04-12,95,False
2020-04-19,100,False
2020-04-26,94,False
2020-05-03,96,False
2020-05-10,91,False
2020-05-17,74,False
2020-05-24,64,False
2020-05-31,65,False
2020-06-07,67,False
2020-06-14,62,False
2020-06-21,61,False
2020-06-28,59,False
2020-07-05,53,False
2020-07-12,59,False
2020-07-19,62,False
2020-07-26,57,False
2020-08-02,60,False
2020-08-09,60,False
2020-08-16,58,False
2020-08-23,57,False
2020-08-30,58,False
2020-09-06,57,False
2020-09-13,61,False
2020-09-20,64,False
2020-09-27,62,False
2020-10-04,72,False
2020-10-11,68,False
2020-10-18,70,False
2020-10-25,66,False
2020-11-01,55,False
2020-11-08,61,False
2020-11-15,73,False
2020-11-22,56,False
2020-11-29,66,False
2020-12-06,65,False
2020-12-13,63,False
2020-12-20,53,False
2020-12-27,51,False
2021-01-03,60,False
2021-01-10,62,False
2021-01-17,62,False
2021-01-24,61,False
2021-01-31,61,False
2021-02-07,63,False
2021-02-14,62,False
2021-02-21,73,False
2021-02-28,65,False
2021-03-07,66,False
2021-03-14,72,False
2021-03-21,71,False
2021-03-28,50,False
2021-04-04,64,False
