date,Dyslexia,isPartial
2020-04-05,62,False
2020-04-12,65,False
2020-04-19,69,False
2020-04-26,68,False
2020-05-03,69,False
2020-05-10,64,False
2020-05-17,64,False
2020-05-24,60,False
2020-05-31,62,False
2020-06-07,61,False
2020-06-14,56,False
2020-06-21,57,False
2020-06-28,57,False
2020-07-05,56,False
2020-07-12,65,False
2020-07-19,60,False
2020-07-26,62,False
2020-08-02,66,False
2020-08-09,72,False
2020-08-16,77,False
2020-08-23,80,False
2020-08-30,88,False
2020-09-06,88,False
2020-09-13,89,False
2020-09-20,98,False
2020-09-27,90,False
2020-10-04,100,False
2020-10-11,88,False
2020-10-18,85,False
2020-10-25,79,False
2020-11-01,63,False
2020-11-08,69,False
2020-11-15,74,False
2020-11-22,53,False
2020-11-29,72,False
2020-12-06,68,False
2020-12-13,74,False
2020-12-20,46,False
2020-12-27,46,False
2021-01-03,62,False
2021-01-10,61,False
2021-01-17,71,False
2021-01-24,77,False
2021-01-31,79,False
2021-02-07,78,False
2021-02-14,61,False
2021-02-21,76,False
2021-02-28,78,False
2021-03-07,78,False
2021-03-14,72,False
2021-03-21,72,False
2021-03-28,75,False
2021-04-04,74,False
