date,OCD,isPartial
2020-04-05,69,False
2020-04-12,64,False
2020-04-19,95,False
2020-04-26,81,False
2020-05-03,79,False
2020-05-10,94,False
2020-05-17,100,False
2020-05-24,89,False
2020-05-31,81,False
2020-06-07,76,False
2020-06-14,75,False
2020-06-21,80,False
2020-06-28,75,False
2020-07-05,79,False
2020-07-12,77,False
2020-07-19,75,False
2020-07-26,75,False
2020-08-02,72,False
2020-08-09,74,False
2020-08-16,74,False
2020-08-23,71,False
2020-08-30,74,False
2020-09-06,69,False
2020-09-13,72,False
2020-09-20,70,False
2020-09-27,68,False
2020-10-04,72,False
2020-10-11,72,False
2020-10-18,67,False
2020-10-25,68,False
2020-11-01,59,False
2020-11-08,67,False
2020-11-15,70,False
2020-11-22,70,False
2020-11-29,68,False
2020-12-06,71,False
2020-12-13,70,False
2020-12-20,66,False
2020-12-27,67,False
2021-01-03,72,False
2021-01-10,72,False
2021-01-17,70,False
2021-01-24,72,False
2021-01-31,72,False
2021-02-07,76,False
2021-02-14,71,False
2021-02-21,75,False
2021-02-28,78,False
2021-03-07,71,False
2021-03-14,70,False
2021-03-21,71,False
2021-03-28,69,False
2021-04-04,71,False
