date,Paranoia,isPartial
2020-04-05,73,False
2020-04-12,77,False
2020-04-19,88,False
2020-04-26,92,False
2020-05-03,90,False
2020-05-10,87,False
2020-05-17,87,False
2020-05-24,81,False
2020-05-31,75,False
2020-06-07,87,False
2020-06-14,80,False
2020-06-21,91,False
2020-06-28,93,False
2020-07-05,99,False
2020-07-12,83,False
2020-07-19,95,False
2020-07-26,95,False
2020-08-02,79,False
2020-08-09,80,False
2020-08-16,75,False
2020-08-23,75,False
2020-08-30,75,False
2020-09-06,71,False
2020-09-13,70,False
2020-09-20,79,False
2020-09-27,77,False
2020-10-04,78,False
2020-10-11,84,False
2020-10-18,90,False
2020-10-25,100,False
2020-11-01,59,False
2020-11-08,67,False
2020-11-15,79,False
2020-11-22,69,False
2020-11-29,65,False
2020-12-06,65,False
2020-12-13,69,False
2020-12-20,65,False
2020-12-27,100,False
2021-01-03,68,False
2021-01-10,77,False
2021-01-17,74,False
2021-01-24,73,False
2021-01-31,73,False
2021-02-07,62,False
2021-02-14,82,False
2021-02-21,88,False
2021-02-28,75,False
2021-03-07,71,False
2021-03-14,75,False
2021-03-21,74,False
2021-03-28,68,False
2021-04-04,76,False
