date,Psychosis,isPartial
2020-04-05,46,False
2020-04-12,58,False
2020-04-19,50,False
2020-04-26,56,False
2020-05-03,65,False
2020-05-10,57,False
2020-05-17,48,False
2020-05-24,55,False
2020-05-31,46,False
2020-06-07,55,False
2020-06-14,49,False
2020-06-21,73,False
2020-06-28,63,False
2020-07-05,57,False
2020-07-12,48,False
2020-07-19,56,False
2020-07-26,65,False
2020-08-02,62,False
2020-08-09,44,False
2020-08-16,40,False
2020-08-23,59,False
2020-08-30,63,False
2020-09-06,46,False
2020-09-13,56,False
2020-09-20,55,False
2020-09-27,59,False
2020-10-04,77,False
2020-10-11,63,False
2020-10-18,67,False
2020-10-25,59,False
2020-11-01,41,False
2020-11-08,59,False
2020-11-15,61,False
2020-11-22,65,False
2020-11-29,70,False
2020-12-06,53,False
2020-12-13,61,False
2020-12-20,48,False
2020-12-27,100,False
2021-01-03,65,False
2021-01-10,54,False
2021-01-17,58,False
2021-01-24,72,False
2021-01-31,71,False
2021-02-07,53,False
2021-02-14,70,False
2021-02-21,74,False
2021-02-28,57,False
2021-03-07,64,False
2021-03-14,67,False
2021-03-21,80,False
2021-03-28,51,False
2021-04-04,63,False
