date,Stressed,isPartial
2020-04-05,63,False
2020-04-12,68,False
2020-04-19,76,False
2020-04-26,73,False
2020-05-03,77,False
2020-05-10,86,False
2020-05-17,77,False
2020-05-24,74,False
2020-05-31,78,False
2020-06-07,76,False
2020-06-14,71,False
2020-06-21,81,False
2020-06-28,83,False
2020-07-05,69,False
2020-07-12,77,False
2020-07-19,67,False
2020-07-26,71,False
2020-08-02,78,False
2020-08-09,75,False
2020-08-16,85,False
2020-08-23,75,False
2020-08-30,80,False
2020-09-06,76,False
2020-09-13,75,False
2020-09-20,97,False
2020-09-27,74,False
2020-10-04,73,False
2020-10-11,74,False
2020-10-18,65,False
2020-10-25,63,False
2020-11-01,80,False
2020-11-08,71,False
2020-11-15,69,False
2020-11-22,77,False
2020-11-29,86,False
2020-12-06,76,False
2020-12-13,74,False
2020-12-20,64,False
2020-12-27,64,False
2021-01-03,69,False
2021-01-10,77,False
2021-01-17,80,False
2021-01-24,79,False
2021-01-31,93,False
2021-02-07,100,False
2021-02-14,82,False
2021-02-21,87,False
2021-02-28,84,False
2021-03-07,71,False
2021-03-14,86,False
2021-03-21,77,False
2021-03-28,87,False
2021-04-04,79,False
