date,anxiety,isPartial
2020-04-05,88,False
2020-04-12,89,False
2020-04-19,90,False
2020-04-26,95,False
2020-05-03,90,False
2020-05-10,87,False
2020-05-17,91,False
2020-05-24,89,False
2020-05-31,86,False
2020-06-07,87,False
2020-06-14,97,False
2020-06-21,99,False
2020-06-28,95,False
2020-07-05,94,False
2020-07-12,97,False
2020-07-19,98,False
2020-07-26,94,False
2020-08-02,91,False
2020-08-09,95,False
2020-08-16,94,False
2020-08-23,100,False
2020-08-30,99,False
2020-09-06,100,False
2020-09-13,95,False
2020-09-20,93,False
2020-09-27,94,False
2020-10-04,96,False
2020-10-11,88,False
2020-10-18,90,False
2020-10-25,86,False
2020-11-01,85,False
2020-11-08,91,False
2020-11-15,90,False
2020-11-22,83,False
2020-11-29,90,False
2020-12-06,90,False
2020-12-13,85,False
2020-12-20,78,False
2020-12-27,85,False
2021-01-03,91,False
2021-01-10,92,False
2021-01-17,91,False
2021-01-24,95,False
2021-01-31,91,False
2021-02-07,97,False
2021-02-14,90,False
2021-02-21,97,False
2021-02-28,93,False
2021-03-07,94,False
2021-03-14,97,False
2021-03-21,95,False
2021-03-28,95,False
2021-04-04,95,False
