date,hi,isPartial
2020-04-05,91,False
2020-04-12,93,False
2020-04-19,99,False
2020-04-26,100,False
2020-05-03,95,False
2020-05-10,88,False
2020-05-17,85,False
2020-05-24,83,False
2020-05-31,85,False
2020-06-07,79,False
2020-06-14,82,False
2020-06-21,85,False
2020-06-28,89,False
2020-07-05,81,False
2020-07-12,83,False
2020-07-19,83,False
2020-07-26,86,False
2020-08-02,86,False
2020-08-09,83,False
2020-08-16,84,False
2020-08-23,88,False
2020-08-30,83,False
2020-09-06,85,False
2020-09-13,84,False
2020-09-20,83,False
2020-09-27,83,False
2020-10-04,83,False
2020-10-11,82,False
2020-10-18,82,False
2020-10-25,79,False
2020-11-01,75,False
2020-11-08,80,False
2020-11-15,78,False
2020-11-22,87,False
2020-11-29,78,False
2020-12-06,83,False
2020-12-13,81,False
2020-12-20,87,False
2020-12-27,82,False
2021-01-03,80,False
2021-01-10,77,False
2021-01-17,78,False
2021-01-24,75,False
2021-01-31,75,False
2021-02-07,76,False
2021-02-14,73,False
2021-02-21,78,False
2021-02-28,76,False
2021-03-07,73,False
2021-03-14,75,False
2021-03-21,78,False
2021-03-28,74,False
2021-04-04,77,False
