date,Boredom,isPartial
2020-04-05,100,False
2020-04-12,78,False
2020-04-19,73,False
2020-04-26,68,False
2020-05-03,58,False
2020-05-10,53,False
2020-05-17,52,False
2020-05-24,45,False
2020-05-31,41,False
2020-06-07,40,False
2020-06-14,37,False
2020-06-21,39,False
2020-06-28,39,False
2020-07-05,39,False
2020-07-12,37,False
2020-07-19,37,False
2020-07-26,38,False
2020-08-02,35,False
2020-08-09,34,False
2020-08-16,37,False
2020-08-23,36,False
2020-08-30,34,False
2020-09-06,36,False
2020-09-13,38,False
2020-09-20,37,False
2020-09-27,34,False
2020-10-04,35,False
2020-10-11,33,False
2020-10-18,35,False
2020-10-25,33,False
2020-11-01,28,False
2020-11-08,34,False
2020-11-15,33,False
2020-11-22,29,False
2020-11-29,34,False
2020-12-06,32,False
2020-12-13,30,False
2020-12-20,26,False
2020-12-27,29,False
2021-01-03,34,False
2021-01-10,35,False
2021-01-17,35,False
2021-01-24,37,False
2021-01-31,35,False
2021-02-07,37,False
2021-02-14,34,False
2021-02-21,33,False
2021-02-28,33,False
2021-03-07,30,False
2021-03-14,30,False
2021-03-21,29,False
2021-03-28,30,False
2021-04-04,35,False
