date,Corona,isPartial
2020-04-05,100,False
2020-04-12,65,False
2020-04-19,52,False
2020-04-26,41,False
2020-05-03,36,False
2020-05-10,30,False
2020-05-17,28,False
2020-05-24,23,False
2020-05-31,18,False
2020-06-07,18,False
2020-06-14,20,False
2020-06-21,23,False
2020-06-28,24,False
2020-07-05,21,False
2020-07-12,22,False
2020-07-19,19,False
2020-07-26,17,False
2020-08-02,15,False
2020-08-09,13,False
2020-08-16,12,False
2020-08-23,12,False
2020-08-30,10,False
2020-09-06,10,False
2020-09-13,9,False
2020-09-20,9,False
2020-09-27,12,False
2020-10-04,10,False
2020-10-11,9,False
2020-10-18,9,False
2020-10-25,9,False
2020-11-01,7,False
2020-11-08,10,False
2020-11-15,11,False
2020-11-22,9,False
2020-11-29,10,False
2020-12-06,9,False
2020-12-13,9,False
2020-12-20,9,False
2020-12-27,9,False
2021-01-03,8,False
2021-01-10,7,False
2021-01-17,7,False
2021-01-24,7,False
2021-01-31,6,False
2021-02-07,6,False
2021-02-14,5,False
2021-02-21,5,False
2021-02-28,5,False
2021-03-07,5,False
2021-03-14,5,False
2021-03-21,5,False
2021-03-28,5,False
2021-04-04,5,False
