date,Dysthymia,isPartial
2020-04-05,44,False
2020-04-12,41,False
2020-04-19,52,False
2020-04-26,62,False
2020-05-03,100,False
2020-05-10,53,False
2020-05-17,42,False
2020-05-24,49,False
2020-05-31,42,False
2020-06-07,51,False
2020-06-14,58,False
2020-06-21,51,False
2020-06-28,69,False
2020-07-05,52,False
2020-07-12,59,False
2020-07-19,57,False
2020-07-26,56,False
2020-08-02,58,False
2020-08-09,50,False
2020-08-16,57,False
2020-08-23,63,False
2020-08-30,55,False
2020-09-06,50,False
2020-09-13,59,False
2020-09-20,60,False
2020-09-27,54,False
2020-10-04,66,False
2020-10-11,67,False
2020-10-18,64,False
2020-10-25,68,False
2020-11-01,49,False
2020-11-08,57,False
2020-11-15,53,False
2020-11-22,43,False
2020-11-29,48,False
2020-12-06,62,False
2020-12-13,53,False
2020-12-20,29,False
2020-12-27,40,False
2021-01-03,51,False
2021-01-10,48,False
2021-01-17,42,False
2021-01-24,58,False
2021-01-31,54,False
2021-02-07,50,False
2021-02-14,53,False
2021-02-21,59,False
2021-02-28,47,False
2021-03-07,49,False
2021-03-14,57,False
2021-03-21,57,False
2021-03-28,48,False
2021-04-04,51,False
