date,GAD,isPartial
2020-04-05,68,False
2020-04-12,70,False
2020-04-19,74,False
2020-04-26,91,False
2020-05-03,84,False
2020-05-10,82,False
2020-05-17,81,False
2020-05-24,88,False
2020-05-31,100,False
2020-06-07,94,False
2020-06-14,91,False
2020-06-21,76,False
2020-06-28,79,False
2020-07-05,73,False
2020-07-12,71,False
2020-07-19,70,False
2020-07-26,69,False
2020-08-02,68,False
2020-08-09,65,False
2020-08-16,66,False
2020-08-23,74,False
2020-08-30,82,False
2020-09-06,68,False
2020-09-13,71,False
2020-09-20,69,False
2020-09-27,65,False
2020-10-04,67,False
2020-10-11,64,False
2020-10-18,65,False
2020-10-25,76,False
2020-11-01,65,False
2020-11-08,64,False
2020-11-15,72,False
2020-11-22,65,False
2020-11-29,71,False
2020-12-06,86,False
2020-12-13,76,False
2020-12-20,67,False
2020-12-27,72,False
2021-01-03,69,False
2021-01-10,83,False
2021-01-17,67,False
2021-01-24,67,False
2021-01-31,82,False
2021-02-07,70,False
2021-02-14,65,False
2021-02-21,71,False
2021-02-28,65,False
2021-03-07,71,False
2021-03-14,67,False
2021-03-21,60,False
2021-03-28,66,False
2021-04-04,66,False
