date,Panic,isPartial
2020-04-05,100,False
2020-04-12,94,False
2020-04-19,97,False
2020-04-26,97,False
2020-05-03,89,False
2020-05-10,96,False
2020-05-17,87,False
2020-05-24,87,False
2020-05-31,74,False
2020-06-07,79,False
2020-06-14,81,False
2020-06-21,85,False
2020-06-28,86,False
2020-07-05,82,False
2020-07-12,83,False
2020-07-19,82,False
2020-07-26,77,False
2020-08-02,79,False
2020-08-09,79,False
2020-08-16,83,False
2020-08-23,73,False
2020-08-30,78,False
2020-09-06,83,False
2020-09-13,82,False
2020-09-20,77,False
2020-09-27,73,False
2020-10-04,79,False
2020-10-11,76,False
2020-10-18,79,False
2020-10-25,81,False
2020-11-01,68,False
2020-11-08,70,False
2020-11-15,76,False
2020-11-22,63,False
2020-11-29,65,False
2020-12-06,70,False
2020-12-13,66,False
2020-12-20,61,False
2020-12-27,61,False
2021-01-03,69,False
2021-01-10,87,False
2021-01-17,70,False
2021-01-24,65,False
2021-01-31,69,False
2021-02-07,68,False
2021-02-14,71,False
2021-02-21,71,False
2021-02-28,65,False
2021-03-07,66,False
2021-03-14,67,False
2021-03-21,63,False
2021-03-28,70,False
2021-04-04,70,False
