date,Anorexia,isPartial
2020-04-05,98,False
2020-04-12,93,False
2020-04-19,98,False
2020-04-26,93,False
2020-05-03,96,False
2020-05-10,91,False
2020-05-17,81,False
2020-05-24,84,False
2020-05-31,75,False
2020-06-07,76,False
2020-06-14,84,False
2020-06-21,95,False
2020-06-28,87,False
2020-07-05,80,False
2020-07-12,82,False
2020-07-19,83,False
2020-07-26,79,False
2020-08-02,76,False
2020-08-09,75,False
2020-08-16,74,False
2020-08-23,68,False
2020-08-30,78,False
2020-09-06,82,False
2020-09-13,92,False
2020-09-20,83,False
2020-09-27,91,False
2020-10-04,98,False
2020-10-11,93,False
2020-10-18,89,False
2020-10-25,91,False
2020-11-01,76,False
2020-11-08,92,False
2020-11-15,100,False
2020-11-22,81,False
2020-11-29,86,False
2020-12-06,100,False
2020-12-13,93,False
2020-12-20,80,False
2020-12-27,68,False
2021-01-03,73,False
2021-01-10,73,False
2021-01-17,74,False
2021-01-24,77,False
2021-01-31,82,False
2021-02-07,80,False
2021-02-14,73,False
2021-02-21,92,False
2021-02-28,93,False
2021-03-07,85,False
2021-03-14,85,False
2021-03-21,85,False
2021-03-28,85,False
2021-04-04,88,False
