date,anxiety,isPartial
2020-04-05,84,False
2020-04-12,88,False
2020-04-19,89,False
2020-04-26,93,False
2020-05-03,84,False
2020-05-10,87,False
2020-05-17,90,False
2020-05-24,86,False
2020-05-31,87,False
2020-06-07,90,False
2020-06-14,92,False
2020-06-21,100,False
2020-06-28,93,False
2020-07-05,93,False
2020-07-12,93,False
2020-07-19,94,False
2020-07-26,94,False
2020-08-02,89,False
2020-08-09,90,False
2020-08-16,96,False
2020-08-23,95,False
2020-08-30,100,False
2020-09-06,100,False
2020-09-13,96,False
2020-09-20,91,False
2020-09-27,94,False
2020-10-04,93,False
2020-10-11,90,False
2020-10-18,88,False
2020-10-25,87,False
2020-11-01,85,False
2020-11-08,85,False
2020-11-15,92,False
2020-11-22,85,False
2020-11-29,88,False
2020-12-06,90,False
2020-12-13,85,False
2020-12-20,77,False
2020-12-27,86,False
2021-01-03,93,False
2021-01-10,90,False
2021-01-17,93,False
2021-01-24,95,False
2021-01-31,93,False
2021-02-07,91,False
2021-02-14,90,False
2021-02-21,97,False
2021-02-28,96,False
2021-03-07,89,False
2021-03-14,92,False
2021-03-21,95,False
2021-03-28,93,False
2021-04-04,91,False
