date,anorexia,isPartial
2018-04-08,98,False
2018-04-15,93,False
2018-04-22,98,False
2018-04-29,100,False
2018-05-06,91,False
2018-05-13,87,False
2018-05-20,61,False
2018-05-27,58,False
2018-06-03,73,False
2018-06-10,69,False
2018-06-17,62,False
2018-06-24,80,False
2018-07-01,68,False
2018-07-08,64,False
2018-07-15,79,False
2018-07-22,87,False
2018-07-29,79,False
2018-08-05,59,False
2018-08-12,60,False
2018-08-19,56,False
2018-08-26,55,False
2018-09-02,66,False
2018-09-09,79,False
2018-09-16,79,False
2018-09-23,89,False
2018-09-30,83,False
2018-10-07,89,False
2018-10-14,90,False
2018-10-21,84,False
2018-10-28,91,False
2018-11-04,96,False
2018-11-11,92,False
2018-11-18,78,False
2018-11-25,74,False
2018-12-02,90,False
2018-12-09,79,False
2018-12-16,68,False
2018-12-23,49,False
2018-12-30,69,False
2019-01-06,65,False
2019-01-13,64,False
2019-01-20,64,False
2019-01-27,87,False
2019-02-03,99,False
2019-02-10,87,False
2019-02-17,88,False
2019-02-24,81,False
2019-03-03,71,False
2019-03-10,66,False
2019-03-17,94,False
2019-03-24,99,False
2019-03-31,95,False
