,2018_19,2020_21
0,88,89
1,56,80
2,82,100
3,90,80
4,75,83
5,91,48
6,56,75
7,71,85
8,61,67
9,61,70
10,80,86
11,77,86
12,69,93
13,62,52
14,76,76
15,66,40
16,65,85
17,43,50
18,66,60
19,76,69
20,63,49
21,84,65
22,62,58
23,72,64
24,90,68
25,64,42
26,69,87
27,85,96
28,77,66
29,69,56
30,80,57
31,79,83
32,85,95
33,91,46
34,100,71
35,65,62
36,64,50
37,44,65
38,48,40
39,69,24
40,66,38
41,62,60
42,68,47
43,61,82
44,86,69
45,80,38
46,73,65
47,59,81
48,73,84
49,96,59
50,61,86
51,64,75

EUCLIDIAN DISTANCE
[[  0.         143.819331]
 [143.819331   0.        ]]
