,2018_19,2020_21
0,69,0
1,87,0
2,60,0
3,46,0
4,56,0
5,62,0
6,89,0
7,38,0
8,59,0
9,83,0
10,51,0
11,48,0
12,41,0
13,49,0
14,43,58
15,36,30
16,57,53
17,22,87
18,100,79
19,30,49
20,70,59
21,56,54
22,56,36
23,46,41
24,31,18
25,42,51
26,68,13
27,53,94
28,62,51
29,25,53
30,76,20
31,26,0
32,86,59
33,46,16
34,64,48
35,76,63
36,57,78
37,31,78
38,38,95
39,0,75
40,0,51
41,0,57
42,0,23
43,0,67
44,0,0
45,0,59
46,0,71
47,0,43
48,0,95
49,0,100
50,0,25
51,0,74

EUCLIDIAN DISTANCE
[[  0.         359.46905291]
 [359.46905291   0.        ]]
