,2018_19,2020_21
0,92,93
1,86,87
2,100,91
3,99,88
4,87,82
5,86,76
6,61,68
7,52,63
8,57,77
9,62,69
10,59,92
11,79,78
12,65,92
13,62,63
14,83,63
15,83,76
16,79,75
17,67,54
18,56,70
19,57,67
20,56,50
21,64,60
22,71,67
23,84,92
24,88,79
25,79,94
26,86,100
27,90,84
28,85,70
29,93,92
30,98,66
31,90,92
32,79,71
33,71,84
34,85,87
35,78,97
36,66,84
37,47,66
38,69,81
39,70,65
40,60,65
41,64,70
42,86,75
43,98,89
44,91,0
45,91,0
46,77,90
47,69,73
48,65,51
49,91,57
50,96,85
51,89,79

EUCLIDIAN DISTANCE:
[[  0.         160.17802596]
 [160.17802596   0.        ]]
