date,anxiety,isPartial
2018-04-08,85,False
2018-04-15,90,False
2018-04-22,83,False
2018-04-29,84,False
2018-05-06,79,False
2018-05-13,70,False
2018-05-20,83,False
2018-05-27,67,False
2018-06-03,81,False
2018-06-10,71,False
2018-06-17,83,False
2018-06-24,73,False
2018-07-01,71,False
2018-07-08,77,False
2018-07-15,83,False
2018-07-22,86,False
2018-07-29,91,False
2018-08-05,82,False
2018-08-12,91,False
2018-08-19,81,False
2018-08-26,91,False
2018-09-02,88,False
2018-09-09,81,False
2018-09-16,84,False
2018-09-23,81,False
2018-09-30,77,False
2018-10-07,81,False
2018-10-14,76,False
2018-10-21,86,False
2018-10-28,74,False
2018-11-04,85,False
2018-11-11,81,False
2018-11-18,72,False
2018-11-25,93,False
2018-12-02,85,False
2018-12-09,85,False
2018-12-16,80,False
2018-12-23,67,False
2018-12-30,84,False
2019-01-06,81,False
2019-01-13,88,False
2019-01-20,79,False
2019-01-27,92,False
2019-02-03,85,False
2019-02-10,87,False
2019-02-17,86,False
2019-02-24,91,False
2019-03-03,84,False
2019-03-10,100,False
2019-03-17,78,False
2019-03-24,88,False
2019-03-31,86,False
