,2018_19,2020_21
0,85,84
1,89,85
2,82,85
3,83,79
4,80,76
5,72,88
6,82,82
7,67,74
8,82,81
9,72,81
10,84,90
11,74,93
12,70,92
13,78,100
14,82,91
15,90,96
16,95,85
17,81,86
18,93,92
19,82,81
20,92,92
21,89,96
22,83,88
23,84,95
24,81,85
25,77,92
26,78,90
27,75,96
28,87,86
29,75,85
30,85,75
31,83,92
32,71,90
33,89,78
34,85,86
35,86,90
36,79,90
37,67,79
38,84,0
39,81,98
40,89,0
41,79,0
42,96,95
43,86,0
44,87,94
45,87,0
46,93,0
47,82,94
48,100,0
49,78,88
50,89,0
51,87,97

EUCLIDIAN DISTANCE:
[[  0.         259.91729454]
 [259.91729454   0.        ]]
