,2018_19,2020_21
0,89,78
1,91,70
2,85,80
3,82,77
4,84,80
5,82,76
6,77,77
7,82,69
8,72,69
9,82,76
10,86,85
11,85,84
12,76,83
13,83,84
14,85,84
15,92,83
16,92,90
17,87,84
18,90,83
19,81,91
20,88,80
21,79,91
22,85,91
23,95,84
24,90,81
25,88,85
26,99,92
27,84,86
28,84,88
29,86,81
30,87,72
31,89,80
32,79,83
33,91,77
34,97,81
35,82,81
36,82,81
37,76,79
38,80,81
39,92,87
40,84,91
41,89,92
42,82,92
43,100,95
44,96,91
45,99,85
46,97,98
47,85,100
48,96,93
49,90,89
50,94,86
51,97,86

EUCLIDIAN DISTANCE
[[ 0.         57.95688052]
 [57.95688052  0.        ]]
