,2018_19,2020_21
0,81,0
1,71,0
2,78,0
3,77,0
4,89,0
5,78,0
6,76,0
7,78,0
8,81,0
9,75,0
10,67,0
11,72,0
12,83,0
13,82,0
14,82,90
15,80,89
16,80,80
17,80,97
18,81,84
19,76,87
20,80,88
21,90,88
22,92,66
23,76,76
24,83,91
25,94,97
26,88,87
27,91,91
28,93,91
29,93,80
30,92,74
31,83,79
32,76,85
33,100,73
34,81,82
35,78,79
36,88,77
37,67,70
38,80,84
39,0,88
40,0,85
41,0,76
42,0,98
43,0,93
44,0,89
45,0,82
46,0,96
47,0,100
48,0,97
49,0,88
50,0,82
51,0,87

EUCLIDIAN DISTANCE
[[  0.         438.30354778]
 [438.30354778   0.        ]]
