,2018_19,2020_21
0,90,83
1,87,76
2,87,83
3,87,82
4,83,82
5,80,81
6,82,81
7,78,81
8,83,74
9,87,87
10,88,92
11,100,90
12,88,92
13,93,95
14,90,98
15,92,90
16,100,90
17,91,93
18,93,90
19,100,86
20,91,86
21,85,89
22,96,86
23,99,93
24,97,86
25,96,90
26,92,94
27,87,87
28,88,90
29,88,88
30,96,77
31,90,88
32,74,91
33,98,78
34,96,89
35,89,91
36,83,83
37,70,76
38,81,84
39,89,86
40,86,85
41,88,85
42,87,100
43,95,94
44,91,0
45,96,0
46,96,95
47,98,92
48,88,95
49,97,89
50,97,95
51,98,90

EUCLIDIAN DISTANCE
[[  0.         142.17946406]
 [142.17946406   0.        ]]
