date,depression,isPartial
2018-04-08,78,False
2018-04-15,89,False
2018-04-22,84,False
2018-04-29,83,False
2018-05-06,80,False
2018-05-13,82,False
2018-05-20,83,False
2018-05-27,65,False
2018-06-03,77,False
2018-06-10,75,False
2018-06-17,65,False
2018-06-24,69,False
2018-07-01,63,False
2018-07-08,62,False
2018-07-15,62,False
2018-07-22,69,False
2018-07-29,66,False
2018-08-05,61,False
2018-08-12,66,False
2018-08-19,58,False
2018-08-26,76,False
2018-09-02,66,False
2018-09-09,74,False
2018-09-16,76,False
2018-09-23,77,False
2018-09-30,82,False
2018-10-07,74,False
2018-10-14,79,False
2018-10-21,95,False
2018-10-28,88,False
2018-11-04,83,False
2018-11-11,84,False
2018-11-18,67,False
2018-11-25,81,False
2018-12-02,82,False
2018-12-09,88,False
2018-12-16,78,False
2018-12-23,58,False
2018-12-30,63,False
2019-01-06,79,False
2019-01-13,81,False
2019-01-20,80,False
2019-01-27,89,False
2019-02-03,81,False
2019-02-10,84,False
2019-02-17,91,False
2019-02-24,88,False
2019-03-03,98,False
2019-03-10,81,False
2019-03-17,97,False
2019-03-24,85,False
2019-03-31,100,False
