,2018_19,2020_21
0,79,100
1,89,97
2,85,88
3,83,87
4,80,97
5,81,90
6,82,75
7,65,63
8,78,63
9,74,59
10,65,69
11,69,71
12,63,58
13,62,66
14,62,66
15,69,72
16,67,62
17,61,68
18,66,59
19,59,73
20,76,70
21,66,70
22,74,70
23,76,71
24,77,81
25,81,71
26,74,82
27,80,69
28,95,69
29,87,67
30,83,56
31,84,69
32,67,83
33,80,59
34,81,73
35,89,79
36,79,70
37,59,60
38,63,0
39,79,58
40,81,0
41,80,0
42,89,76
43,81,0
44,84,74
45,91,0
46,88,0
47,98,78
48,81,0
49,97,67
50,85,0
51,100,71

EUCLIDIAN DISTANCE:
[[  0.         247.64490707]
 [247.64490707   0.        ]]
