,2018_19,2020_21
0,85,89
1,81,91
2,86,92
3,78,100
4,69,86
5,72,84
6,76,76
7,63,70
8,71,63
9,72,64
10,64,69
11,68,72
12,56,68
13,56,64
14,62,65
15,60,75
16,60,73
17,59,73
18,60,69
19,58,74
20,63,66
21,65,78
22,71,82
23,74,87
24,73,85
25,72,79
26,77,77
27,76,89
28,78,83
29,80,82
30,81,64
31,86,77
32,69,79
33,82,74
34,87,81
35,90,79
36,78,70
37,62,60
38,71,62
39,86,77
40,81,76
41,78,76
42,73,87
43,100,87
44,88,87
45,84,82
46,90,81
47,93,84
48,87,75
49,86,77
50,78,80
51,81,67

EUCLIDIAN DISTANCE:
[[ 0.         72.09022125]
 [72.09022125  0.        ]]
