,2018_19,2020_21
0,74,0
1,69,0
2,80,0
3,70,0
4,79,0
5,69,0
6,66,0
7,72,0
8,100,0
9,80,0
10,70,0
11,66,0
12,61,0
13,62,0
14,62,84
15,57,84
16,51,77
17,66,100
18,56,77
19,61,88
20,48,87
21,56,81
22,71,58
23,62,64
24,63,88
25,72,83
26,73,88
27,56,91
28,71,92
29,71,78
30,75,65
31,69,87
32,67,100
33,80,73
34,66,85
35,73,89
36,71,93
37,56,64
38,59,72
39,0,93
40,0,96
41,0,85
42,0,85
43,0,89
44,0,87
45,0,90
46,0,85
47,0,88
48,0,97
49,0,73
50,0,65
51,0,80

EUCLIDIAN DISTANCE:
[[  0.         428.54754695]
 [428.54754695   0.        ]]
