,2018_19,2020_21
0,80,99
1,86,98
2,86,100
3,86,95
4,76,93
5,72,86
6,74,74
7,59,65
8,70,71
9,72,64
10,65,67
11,64,68
12,60,64
13,56,64
14,63,65
15,59,94
16,62,72
17,64,68
18,60,68
19,56,97
20,56,70
21,66,65
22,100,73
23,74,92
24,70,80
25,74,73
26,71,71
27,68,72
28,77,74
29,78,72
30,79,64
31,82,82
32,59,79
33,87,61
34,88,87
35,87,80
36,67,72
37,51,51
38,55,55
39,69,63
40,76,65
41,73,69
42,77,72
43,78,76
44,79,0
45,82,0
46,78,70
47,86,77
48,68,79
49,84,63
50,88,76
51,88,76

EUCLIDIAN DISTANCE:
[[  0.         146.65606022]
 [146.65606022   0.        ]]
